,Posição,Endereço,Área,Quartos,Banheiros,Vagas,Condomínio,IPTU,Descrição,Status,Página,Preço
0,1,"Rua Acre, Vila da Amizade",,,,,200,,Vende se apartamento no Residencial Villacre com as seguintes características 1º andar 2 quartos Sala Cozinha com móveis planejados e bancada em granito Wcsocial 1 vaga de g,Super destaque,1,143000
1,2,"Conjunto Tucuma, Rio Branco",,,,,,336,Imóvel localizado no conjunto Tucumã Ótimo para investimento,Destaque,1,190000
2,3,"Joao Eduardo I, Rio Branco",,,,,,528,Em busca de uma casa que possa lhe proporcionar conforto tranquilidade e lazer para você e sua família Temos uma ótima opção de casa para lhe apresentar Casa é composta por 03,Comum,1,270000
3,4,"Rua do Jasmim, Jardim Tropical",,,,,,,A casa está localizado no bairro Jardim Tropical perto do Colégio Latu Sensu na rua principal do bairro com acabamento de qualidade Casa funcional e prática,Comum,1,480000
4,5,"Rua Independência, Conjunto Bela Vista",,,,,,,Vende se uma casa no Conjunto Bela Vista Sala de estar e jantar Cozinha Suíte com móveis planejados 3 Dormitórios mais um quarto externo 3 banheiros Garagem pra 2 carros V,Comum,1,320000
5,6,"Bahia Velha, Rio Branco",,,,,,,Casa com piscina 03 quartos sendo 02 suítes sala cozinha wc social e 03 garagens cobertas edícula churrasqueira e pequeno escritório,Comum,1,370000
6,7,"Loteamento Santo Afonso, Rio Branco",,,,,,,Imovel localizado no na principal do Santo Afonso Contendo 02 suítes e 01 quarto sala de estar sala de jantar cozinha área de serviço varanda na frente coberta e quintal atr,Destaque,1,420000
7,8,"Loteamento Joafra, Rio Branco",,,,,,768,Excelente imóvel a venda no Loteamento Joafra próximo a Fameta parque tucumã posto de combustível e conveniências Imóvel conta com 01 suíte e 01 quarto wc social sala e cozin,Comum,1,270000
8,9,"Vila Ivonete, Rio Branco",,,,,,,Vendo Casa Conjunto Procon Excelente imóvel composto por 03 suítes 01 lavado sala de estar sala de jantar cozinha área de serviço garagem pra 02 carros,Comum,1,450000
9,10,"Rua Raimundo Ferreira, Conjunto Universitario",,,,,,,A casa está localizado no bairro Conjunto Universitário em uma excelente localização tem 190 metros quadrados de área construída com 3 quartos sendo 1 suite e 1 banheiro social,Destaque,1,310000
