,Posição,Endereço,Área,Quartos,Banheiros,Vagas,Condomínio,IPTU,Descrição,Status,Página,Preço
0,1,"Rua Acre, Vila da Amizade",,,,,200,,Vende se apartamento no Residencial Villacre com as seguintes características 1º andar 2 quartos Sala Cozinha com móveis planejados e bancada em granito Wcsocial 1 vaga de g,Super destaque,1,143000
1,2,"Conjunto Tucuma, Rio Branco",,,,,,336,Imóvel localizado no conjunto Tucumã Ótimo para investimento,Destaque,1,190000
2,3,"Bahia Velha, Rio Branco",,,,,,,Casa com piscina 03 quartos sendo 02 suítes sala cozinha wc social e 03 garagens cobertas edícula churrasqueira e pequeno escritório,Comum,1,370000
3,4,"Rua Águia, Loteamento Jaguar",,,,,,,Terreno bem localizado no bairro Apolônio Sales Tamanho 10x25 Terreno murado nos fundos e na lateral esquerda Estuda se troca em veículo Demétrio Consultor Imobiliário 68 9995,Destaque,1,38000
4,5,"Avenida Getúlio Vargas, Centro",,,,,,,,Destaque,1,500000
5,6,"Conjunto Bela Vista, Rio Branco",,,,,,,CASA TRÊS QUATOS sendo uma SUÍTE na Rua São Peregrino 345 Conjunto BELA VISTA Floresta Um pequeno ponto Comercial anexo à garagem Muito bem localizada proximo a Igreja São,Comum,1,250000
6,7,"Joao Eduardo I, Rio Branco",,,,,,528,Em busca de uma casa que possa lhe proporcionar conforto tranquilidade e lazer para você e sua família Temos uma ótima opção de casa para lhe apresentar Casa é composta por 03,Comum,1,270000
7,8,"Dom Giocondo, Rio Branco",,,,,,708,Terreno à venda 300 m² 10x30 no Bairro Dom Giocondo Rio Branco AC,Comum,1,200000
8,9,"Belo Jardim I, Rio Branco",,,,,,,Vendo Chácara no Polo Belo Jardim Imóvel para quem deseja passar seus finais de semana em harmonia com a natureza e lazer em família Possui uma excelente casa lago e plantas fr,Comum,1,200000
9,10,"Rua Lourenço Lopes, Eldorado",,,,,,,Vende uma casa nova no Bairro Eldorado 2 quartos 1 suíte wc social Sala Cozinha Área de serviço Churrasqueira Garagem quintal Entre em contato,Destaque,1,200000
