,Posição,Endereço,Área,Quartos,Banheiros,Vagas,Condomínio,IPTU,Descrição,Status,Página,Preço
0,1,"Avenida Recanto Verde, Residencial Petropolis",114 ,3,2,2,,,O sobrado no bairro Primavera possui 114 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros,Destaque,1,495000
1,2,"Rua C, LBA Vila Betel ll",336 ,2,2,1,,,"?Casa na Vila Betel !  Vende-se uma casa no conj. Vila Betel. A casa possui 1 suíte e 1 quarto, banheiro social, cozinha, área de serviço, sala de estar. Tamanho do terreno 12x28 t...",Destaque,1,185000
2,3,"Rua Belo Horizonte, Ivete Vargas",170 ,4,2,1,,,"Vende-se uma casa no Ivete Vargas. A casa possui 1 suite + 3 quartos, sala de estar e sala de jantar, cozinha, área de serviço, banheiro social e 1 vaga de garagem. Valor: 270 mil...",Destaque,1,245000
3,4,"Avenida Getúlio Vargas, Centro",250 ,3,,2,,,,Destaque,1,500000
4,5,"Estrada da Floresta, Floresta Sul",62 ,3,2,1,280,,O apartamento no bairro Floresta Sul tem 62 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros,Destaque,1,225000
5,6,"Rua Acre, Vila da Amizade",50 ,2,1,1,,,"Aluga-se apartamento no Residencial Villacre, Bloco C apartamento 12, com:  * apartamento reformado  * piso porcelanato  * forro de gesso com iluminação em LED  * luminária na sala...",Comum,1,150000
6,7,"Rua Jasmim, Jardim Primavera",95 ,2,1,2,,,Vendo casa residencial em alvenaria  02 dormitórios  01 banheiro social  Sala Cozinha   Edícula nos fundos   Terreno 10x25  Possibilidade de financiamento   Próximo ao condomínio S...,Destaque,1,185000
7,8,"Rua Alcides Teixeira, Loteamento Santo Afonso",390 ,3,2,2,,,A casa está localizado no bairro Loteamento Santo Afonso com 3 quartos sendo 1 suite e 2 banheiros  Vai lhe possibilitar todo o conforto você e sua família merecem.  Casa espaçosa...,Destaque,1,250000
8,9,"Rua Comércio, Conjunto Manoel Juliao",50 ,2,1,1,,,"Apartamento fica no 4° andar, pronto para financiar",Destaque,1,125000
9,10,"Estrada do Calafate, Calafate",50 ,2,1,1,,,"Vendo esse imóvel em condomínio fechado. Apartamento com 2 dormitórios, 1 banheiro social, salas de estar e jantar, cozinha, área de serviço e vaga de garagem para 1 carro. SOMENTE...",Comum,1,89000
10,11,"Rua Ubatuba, Vilage Wilde Maciel",434 ,,,,,,"Um terreno bem localizado, em bairro nobre, Vilage Maciel, medido 14 metros de frente por 31 metros cada. Valor de 190.000,00 cada. Documentação regularizada e pronto para financia...",Destaque,1,190000
11,12,"Avenida Ceará, Dom Giocondo",110 ,3,3,2,,,A casa está localizado no bairro Dom Giocondo com 110 metros quadrados com 3 quartos sendo 2 suites e 3 banheiros,Comum,1,400000
12,13,"Rua Severina Maria de Sousa e Silva, Jardim Manoel Juliao",99 ,3,2,2,690,,"O apartamento está localizado no bairro Jardim Manoel Julião tem 99 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros Possui parquinho infantil, salão para festas e evento...",Destaque,1,570000
13,14,"Estrada do Calafate, Calafate",190 ,3,4,4,,,"A casa de condomínio térrea no bairro Calafate tem 190 metros quadrados com 3 quartos sendo 3 suites e 4 banheiros Possui espaço gourmet, área verde de jardim, parquinho com difere...",Destaque,1,1400000
14,15,"Rua São Mateus, Nova Esperanca",80 ,3,2,2,,,O apartamento está localizado no bairro Nova Esperança possui 80 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros,Comum,1,480000
