,Posição,Endereço,Área,Quartos,Banheiros,Vagas,Condomínio,IPTU,Descrição,Status,Página,Preço
0,1,"Rua Acre, Vila da Amizade",,,,,200,,Vende se apartamento no Residencial Villacre com as seguintes características 1º andar 2 quartos Sala Cozinha com móveis planejados e bancada em granito Wcsocial 1 vaga de g,Super destaque,1,143000
1,2,"Conjunto Tucuma, Rio Branco",,,,,,336,Imóvel localizado no conjunto Tucumã Ótimo para investimento,Destaque,1,190000
2,3,"Bahia Velha, Rio Branco",,,,,,,Casa com piscina 03 quartos sendo 02 suítes sala cozinha wc social e 03 garagens cobertas edícula churrasqueira e pequeno escritório,Comum,1,370000
3,4,"Loteamento Santo Afonso, Rio Branco",,,,,,,Imovel localizado no na principal do Santo Afonso Contendo 02 suítes e 01 quarto sala de estar sala de jantar cozinha área de serviço varanda na frente coberta e quintal atr,Destaque,1,420000
4,5,"Dom Giocondo, Rio Branco",,,,,,708,Terreno à venda 300 m² 10x30 no Bairro Dom Giocondo Rio Branco AC,Comum,1,200000
5,6,"Rua Independência, Conjunto Bela Vista",,,,,,,Vende se uma casa no Conjunto Bela Vista Sala de estar e jantar Cozinha Suíte com móveis planejados 3 Dormitórios mais um quarto externo 3 banheiros Garagem pra 2 carros V,Comum,1,320000
6,7,"Joao Eduardo I, Rio Branco",,,,,,528,Em busca de uma casa que possa lhe proporcionar conforto tranquilidade e lazer para você e sua família Temos uma ótima opção de casa para lhe apresentar Casa é composta por 03,Comum,1,270000
7,8,"Rua Águia, Loteamento Jaguar",,,,,,,Terreno bem localizado no bairro Apolônio Sales Tamanho 10x25 Terreno murado nos fundos e na lateral esquerda Estuda se troca em veículo Demétrio Consultor Imobiliário 68 9995,Destaque,1,38000
8,9,"Vitoria, Rio Branco",,,,,,,Casa disponível para venda bairro Vitória pronta para financiar Sala climatizada Cozinha americana 02 Banheiros sociais 03 Dormitórios sendo 01 suíte Piscina churrasqueira,Comum,1,285000
9,10,"Rua 25 de Dezembro, Tancredo Neves",,,,,,,Ótima casa a venda com 02 quartos sendo demi suite sala cozinha aérea na frente Área com piscina atrás Localizado na principal do Tancredo Neves Aceito carro ou gado como,Comum,1,120000
