,Posição,Endereço,Área,Quartos,Banheiros,Vagas,Condomínio,IPTU,Descrição,Status,Página,Preço
0,1,"Rua Acre, Vila da Amizade",50 ,2,1,1,200,,Vende se apartamento no Residencial Villacre com as seguintes características 1º andar 2 quartos Sala Cozinha com móveis planejados e bancada em granito Wcsocial 1 vaga de g,Super destaque,1,143000
1,2,"Bahia Velha, Rio Branco",205 ,3,3,3,,,Casa com piscina 03 quartos sendo 02 suítes sala cozinha wc social e 03 garagens cobertas edícula churrasqueira e pequeno escritório,Comum,1,370000
2,3,"Vitoria, Rio Branco",155 ,3,3,3,,,Casa disponível para venda bairro Vitória pronta para financiar Sala climatizada Cozinha americana 02 Banheiros sociais 03 Dormitórios sendo 01 suíte Piscina churrasqueira,Comum,1,285000
3,4,"Conjunto Tucuma, Rio Branco",110 ,3,2,2,,336,Imóvel localizado no conjunto Tucumã Ótimo para investimento,Destaque,1,190000
4,5,"Rua Lourenço Lopes, Eldorado",150 ,2,2,,,,Vende uma casa nova no Bairro Eldorado 2 quartos 1 suíte wc social Sala Cozinha Área de serviço Churrasqueira Garagem quintal Entre em contato,Destaque,1,200000
5,6,"Rua Independência, Conjunto Bela Vista",245 ,3,3,2,,,Vende se uma casa no Conjunto Bela Vista Sala de estar e jantar Cozinha Suíte com móveis planejados 3 Dormitórios mais um quarto externo 3 banheiros Garagem pra 2 carros V,Comum,1,320000
6,7,"Rua Alcides Teixeira, Loteamento Santo Afonso",200 ,3,3,4,,,Vendo excelente casa localizada no bairro Santo Afonso Terreno 14x30 03 dormitórios sendo 01 suíte bem amplo 01 banheiro social Sala Cozinha Área de serviço Área gourmet co,Destaque,1,250000
7,8,"Rua Águia, Loteamento Jaguar",250 ,,,,,,Terreno bem localizado no bairro Apolônio Sales Tamanho 10x25 Terreno murado nos fundos e na lateral esquerda Estuda se troca em veículo Demétrio Consultor Imobiliário 68 9995,Destaque,1,38000
8,9,"Avenida Getúlio Vargas, Centro",250 ,3,,2,,,,Destaque,1,500000
9,10,"Rua 25 de Dezembro, Tancredo Neves",300 ,2,2,2,,,Ótima casa a venda com 02 quartos sendo demi suite sala cozinha aérea na frente Área com piscina atrás Localizado na principal do Tancredo Neves Aceito carro ou gado como,Comum,1,120000
10,11,"Rua Maria Luciola da Silva, Vila da Amizade",120 ,2,2,1,,,Excelente casa localizada no Residencial Acauã com 2 quartos 2 suítes Garagem pra 2 carros Portão eletrônico Acabamentos em gesso Cerca elétrica com concertina Poço,Comum,1,220000
11,12,"Loteamento Santo Afonso, Rio Branco",105 ,3,3,2,,,Imovel localizado no na principal do Santo Afonso Contendo 02 suítes e 01 quarto sala de estar sala de jantar cozinha área de serviço varanda na frente coberta e quintal atr,Destaque,1,420000
12,13,"Vila Ivonete, Rio Branco",174 ,3,4,2,,,Vendo Casa Conjunto Procon Excelente imóvel composto por 03 suítes 01 lavado sala de estar sala de jantar cozinha área de serviço garagem pra 02 carros,Comum,1,450000
13,14,"Alameda Madri, Jardim Europa",90 ,3,2,2,,,Apartamento residencial açaí II Apartamento n⁰26 Bairro Jardim Europa Localizado Rua Alameda Madri n⁰ 125 3 quartos com uma suíte 1 sala de estar ampla 1 c,Destaque,1,370000
14,15,"Conjunto Jardim Universitario, Rio Branco",360 ,,,,,,TERRENO JARDIM UNIVERSITÁRIO QUADRA 2 LOTE 17,Destaque,1,70000
15,16,"Joao Eduardo I, Rio Branco",162 ,3,2,2,,528,Em busca de uma casa que possa lhe proporcionar conforto tranquilidade e lazer para você e sua família Temos uma ótima opção de casa para lhe apresentar Casa é composta por 03,Comum,1,270000
16,17,"Conjunto Bela Vista, Rio Branco",168 ,3,2,2,,,CASA TRÊS QUATOS sendo uma SUÍTE na Rua São Peregrino 345 Conjunto BELA VISTA Floresta Um pequeno ponto Comercial anexo à garagem Muito bem localizada proximo a Igreja São,Comum,1,250000
