,Posição,Endereço,Área,Quartos,Banheiros,Vagas,Condomínio,IPTU,Descrição,Status,Página,Preço
0,1,"Rua Acre, Vila da Amizade",,,,,200,,Vende se apartamento no Residencial Villacre com as seguintes características 1º andar 2 quartos Sala Cozinha com móveis planejados e bancada em granito Wcsocial 1 vaga de g,Super destaque,1,143000
1,2,"Conjunto Tucuma, Rio Branco",,,,,,336,Imóvel localizado no conjunto Tucumã Ótimo para investimento,Destaque,1,190000
2,3,"Rua Independência, Conjunto Bela Vista",,,,,,,Vende se uma casa no Conjunto Bela Vista Sala de estar e jantar Cozinha Suíte com móveis planejados 3 Dormitórios mais um quarto externo 3 banheiros Garagem pra 2 carros V,Comum,1,320000
3,4,"Vitoria, Rio Branco",,,,,,,Casa disponível para venda bairro Vitória pronta para financiar Sala climatizada Cozinha americana 02 Banheiros sociais 03 Dormitórios sendo 01 suíte Piscina churrasqueira,Comum,1,285000
4,5,"Rua Senira Nogueira, Vila Ivonete",,,,,,,Vendo Casa Conj Procon Imóvel conta com 03 suítes Sala de estar Sala de jantar Cozinha Garagem pra 02 carros Próximo ao posto de gasolina e Galeria Getúlio,Comum,1,450000
5,6,"Bahia Velha, Rio Branco",,,,,,,Casa com piscina 03 quartos sendo 02 suítes sala cozinha wc social e 03 garagens cobertas edícula churrasqueira e pequeno escritório,Comum,1,370000
6,7,"Conjunto Bela Vista, Rio Branco",,,,,,,CASA TRÊS QUATOS sendo uma SUÍTE na Rua São Peregrino 345 Conjunto BELA VISTA Floresta Um pequeno ponto Comercial anexo à garagem Muito bem localizada proximo a Igreja São,Comum,1,250000
7,8,"Dom Giocondo, Rio Branco",,,,,,708,Terreno à venda 300 m² 10x30 no Bairro Dom Giocondo Rio Branco AC,Comum,1,200000
8,9,"Avenida Getúlio Vargas, Centro",,,,,,,,Destaque,1,500000
9,10,"Loteamento Santo Afonso, Rio Branco",,,,,,,Imovel localizado no na principal do Santo Afonso Contendo 02 suítes e 01 quarto sala de estar sala de jantar cozinha área de serviço varanda na frente coberta e quintal atr,Destaque,1,420000
