,Posição,Endereço,Área,Quartos,Banheiros,Vagas,Condomínio,IPTU,Descrição,Status,Página,Preço
0,1,"Rua Acre, Vila da Amizade",50 ,2,1,1,200,,Vende se apartamento no Residencial Villacre com as seguintes características 1º andar 2 quartos Sala Cozinha com móveis planejados e bancada em granito Wcsocial 1 vaga de g,Super destaque,1,143000
1,2,"Conjunto Tucuma, Rio Branco",110 ,3,2,2,,336,Imóvel localizado no conjunto Tucumã Ótimo para investimento,Destaque,1,190000
2,3,"Loteamento Santo Afonso, Rio Branco",105 ,3,3,2,,,Imovel localizado no na principal do Santo Afonso Contendo 02 suítes e 01 quarto sala de estar sala de jantar cozinha área de serviço varanda na frente coberta e quintal atr,Destaque,1,420000
3,4,"Rua Independência, Conjunto Bela Vista",245 ,3,3,2,,,Vende se uma casa no Conjunto Bela Vista Sala de estar e jantar Cozinha Suíte com móveis planejados 3 Dormitórios mais um quarto externo 3 banheiros Garagem pra 2 carros V,Comum,1,320000
4,5,"Rua Lourenço Lopes, Eldorado",150 ,2,2,,,,Vende uma casa nova no Bairro Eldorado 2 quartos 1 suíte wc social Sala Cozinha Área de serviço Churrasqueira Garagem quintal Entre em contato,Destaque,1,200000
5,6,"Loteamento Joafra, Rio Branco",179 ,2,2,2,,768,Excelente imóvel a venda no Loteamento Joafra próximo a Fameta parque tucumã posto de combustível e conveniências Imóvel conta com 01 suíte e 01 quarto wc social sala e cozin,Comum,1,270000
6,7,"Area Rural de Rio Branco, Rio Branco",200 ,3,2,5,,,Crédito imobiliário SEM JUROS para a compra de loteamento terreno construção imóvel rural sítio chácara Imóvel novo usado na planta residencial comercial galpões sala,Comum,1,200000
7,8,"Quinze, Rio Branco",165 ,3,2,5,,,Casa com 1 suíte 2 quartos sala estar ampla e confortável cozinha área de serviço e garagem Casa coberta com telha de barro acabamento em madeira de lei,Comum,1,250000
8,9,"Bahia Velha, Rio Branco",205 ,3,3,3,,,Casa com piscina 03 quartos sendo 02 suítes sala cozinha wc social e 03 garagens cobertas edícula churrasqueira e pequeno escritório,Comum,1,370000
9,10,"Alameda Curió, Chacara Ipe",190 ,3,3,2,,,Vendo Casa Nova no Bairro Portal Ipê com 190m2 de área construída com 3 quartos sendo 1 suíte sala de estar integrada com sala de jantar e cozinha gourmet churrasqueira piscina,Destaque,1,750000
10,11,"Estrada Jarbas Passarinho, Parque dos Sabias",80 ,2,1,1,,,Vende se uma casa com mobilia no Residêncial Envira Sala Cozinha Banheiro 2 quartos Garagem pra 2 carros Área de Serviço Valor a vista mas com possibilidade de financiamento,Comum,1,170000
11,12,"Rua Alcides Teixeira, Loteamento Santo Afonso",200 ,3,3,4,,,Vendo excelente casa localizada no bairro Santo Afonso Terreno 14x30 03 dormitórios sendo 01 suíte bem amplo 01 banheiro social Sala Cozinha Área de serviço Área gourmet co,Destaque,1,250000
12,13,"Conjunto Bela Vista, Rio Branco",168 ,3,2,2,,,CASA TRÊS QUATOS sendo uma SUÍTE na Rua São Peregrino 345 Conjunto BELA VISTA Floresta Um pequeno ponto Comercial anexo à garagem Muito bem localizada proximo a Igreja São,Comum,1,250000
13,14,"Belo Jardim I, Rio Branco",5000 ,3,2,,,,Vendo Chácara no Polo Belo Jardim Imóvel para quem deseja passar seus finais de semana em harmonia com a natureza e lazer em família Possui uma excelente casa lago e plantas fr,Comum,1,200000
14,15,"Loteamento dos Engenheiros, Rio Branco",162 ,3,2,4,,,Para você que busca comprar um imóvel com localização privilegiada temos a opção perfeita para lhe apresentar Imóvel as principais faculdades de Rio Branco e dos supermercados A,Comum,1,450000
15,16,"Nova Estacao, Rio Branco",74 ,2,3,,,,Casa com ponto comercial Contém duas suítes sala de estar cozinha área de serviço e ponto comercial na frente,Comum,1,230000
16,17,"Alameda Madri, Jardim Europa",90 ,3,2,2,,,Apartamento residencial açaí II Apartamento n⁰26 Bairro Jardim Europa Localizado Rua Alameda Madri n⁰ 125 3 quartos com uma suíte 1 sala de estar ampla 1 c,Destaque,1,370000
17,18,"Rua Águia, Loteamento Jaguar",250 ,,,,,,Terreno bem localizado no bairro Apolônio Sales Tamanho 10x25 Terreno murado nos fundos e na lateral esquerda Estuda se troca em veículo Demétrio Consultor Imobiliário 68 9995,Destaque,1,38000
18,19,"Rua 25 de Dezembro, Tancredo Neves",300 ,2,2,2,,,Ótima casa a venda com 02 quartos sendo demi suite sala cozinha aérea na frente Área com piscina atrás Localizado na principal do Tancredo Neves Aceito carro ou gado como,Comum,1,120000
19,20,"Vilage Wilde Maciel, Rio Branco",434 ,,,,,369,VENDO TERRENO NO BAIRRO VILLAGE PROXIMO A AGRO BOI DA ANTONIA DA ROCHA VIANA E PROXIMO AO CONDOMINI LE VILLE LOCALIZAÇÃO PERFEITA PRA VC,Comum,1,210000
20,21,"Rodovia BR-364, Belo Jardim II",5000 ,3,2,2,,,Chácara a venda no Polo Belo Jardim com 5000 m2 Imóvel para quem deseja passar seus finais de semana em lazer e harmonia com à natureza Possui uma excelente casa lago para se r,Comum,1,200000
21,22,"Rua Maria Luciola da Silva, Vila da Amizade",120 ,2,2,1,,,Excelente casa localizada no Residencial Acauã com 2 quartos 2 suítes Garagem pra 2 carros Portão eletrônico Acabamentos em gesso Cerca elétrica com concertina Poço,Comum,1,220000
22,23,"Avenida Getúlio Vargas, Centro",250 ,3,,2,,,,Destaque,1,500000
23,24,"Rua Tiradentes, Quinze",165 ,3,2,3,,,A casa está localizado no Bairro Quinze com 165 metros² de área construída 03 quartos sendo 01 suíte Sala Cozinha com armários embutidos Guarda roupa de madeira rustica nos q,Comum,1,250000
24,1,"Avenida Comendador Gustavo Paiva, Mangabeiras",39 - 71 ,,2,,,,THE ICON PARK OFFICE Um EMPRESARIAL ao lado do Parque Shopping com todo CONFORTO e SEGURANÇA que você precisa Serão 2 Torres com uma arquitetura de alto padrão e opções de sa,Na planta,1,297394
25,2,"Travessa Professor Derval Macário dos Santos, Cruz das Almas",44 - 55 ,1 - 2,1,1,,,Apartamentos de 2 quartos com suíte na Região de Cruz das Almas com opção de varanda em condomínio fechado todos com vaga de garagem Tudo o que você sempre quis em um só lugar,Em construção,1,291490
26,3,"Jatiúca, Maceió",178 ,3,5,2,600,,Edifício Lumière Edifício Lumière conta com 4 apartamentos por andar de 96 a 178m2 e fica localizado no coração da Jatiúca São apartamentos em porcelanato com 3 quartos varanda,Super destaque,1,1350000
27,4,"Rua Projetada 44, Jardim Petrópolis",250 ,3,5,5,380,,Dependências 3 dormitórios sendo 2 suítes 5 banheiros closet box no bwc armários no bwc armários nos quartos sl estar sl 2 ambientes sl jantar sl de tv,Super destaque,1,850000
28,5,"Avenida Doutor Antônio Gouveia, Pajuçara",350 ,4,5,4,,,A cobertura está localizado no bairro Pajuçara com 350 metros quadrados com 4 quartos sendo 4 suites e 5 banheiros,Super destaque,1,3500000
29,6,"Avenida General Luiz de França Albuquerque, Guaxuma",65 ,2,2,1,,,Lindo apartamento de 65 m2 no Paradise Beach no bairro Guaxuma beira mar pé na areia com 2 quartos sendo 1 suíte varanda vista definitiva do mar paz e tranquilidade embalada,Comum,1,500000
30,7,"Avenida Comendador Gustavo Paiva, Cruz das Almas",51 ,2,2,1,,,Endereço Faixa de Servidão de Passagem 671 Região de Cruz das Almas Maceió AL Área de lazer Playground Quadra de Street Ball Espaço Gourmet Piscinas Adulto e Infantil Ga,Comum,1,317000
31,8,"Avenida Gama Lins, Serraria",60 ,3,1,1,,,3 QuartosWc SocialSalaCozinha 1 Vaga de EstacionamentoContato 82 9,Comum,1,90000
32,9,"Avenida Juca Sampaio, Barro Duro",52 ,2,2,1,230,,O imóvel PRONTO PRA MORAR Residencial Aliciante possui 2 dormitórios 1 vaga na garagem 52m² de área e está localizado em Barro Duro Maceió Área privativa de 51 00 51 42 e 52,Destaque,1,272000
33,10,"Avenida Comendador Gustavo Paiva, Cruz das Almas",51 ,2,2,1,,,Endereço Faixa de Servidão de Passagem 671 Região de Cruz das Almas Maceió AL Área de lazer Playground Quadra de Street Ball Espaço Gourmet Piscinas Adulto e Infantil Ga,Comum,1,330000
34,11,"Rua Sampaio Marques, Pajuçara",37 ,,1,2,,,Excelente sala Mobiliada no Edifício Delman Empresarial no bairro da Pajuçara A sala possui 37 metros quadrados e 1 banheiro O PRÉDIO POSSUI Sala de reunião Auditório Sala Bus,Destaque,1,520000
35,12,"Barro Duro, Maceió",53 ,2,2,2,200,,O apartamento no bairro Barro Duro com 53 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui área verde de jardim parquinho infantil salão de festas Elevador que,Comum,1,260000
36,13,"Avenida Comendador Gustavo Paiva, Cruz das Almas",83 ,3,2,2,,,Informações 8 2 9 9 1 1 3 9 1 0 3 Idivana Cavalcante CRECI 5954 Sensia Horizontes do Atlântico Ao lado do Shopping Parque possui 1 2 e 3 dormitórios com Suíte e Varanda Gou,Comum,1,497490
37,14,"Rua 2, Serraria",46 ,2,2,1,,,Horto Jardins conquiste seu apartamento do jeito que você sempre sonhou Apartamentos de 2 e 3 quartos com e sem varanda de 45 a 55m² muito bem localizado ENTRADA FACILITAD,Comum,1,204000
38,15,"Rua Dom Vital, Farol",38 ,1,1,2,486,,Sem dúvida a melhor localização Receba seus clientes no endereço que reune os pontos mais estratégicos da cidade Perto de hospitais restaurantes e bancos Numa localização estr,Comum,1,249000
39,16,"Mangabeiras, Maceió",77 ,3,2,1,,,Corretor Arthur Ferreira Creci 2872 Localização do Imóvel Edifício Sumatra Apartamento na Mangabeiras Descrição e Diferenciais do Imóvel Apartamento com 77m² 3 quarto,Comum,1,315000
40,17,"Rua Paulina Maria Mendonça, Jatiúca",60 ,2,2,1,350,1250,O apartamento está localizado no bairro Jatiúca com 60 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui área de fitness espaço gourmet espaço para festas Espaço,Destaque,1,
41,18,"Avenida Professor Santos Ferraz, Poço",62 ,3,2,1,426,,Apartamento com 65 25m2 são 03 quartos 02 suítes sendo 01 reversível com o banheiro social sala de estar sala de jantar cozinha área de serviço e 01 vaga de garagem rotativa,Comum,1,340000
42,19,"Rua José Firmino da Silva, Cidade Universitária",180 ,3,2,2,,,Pronta para financiar A Casa está localizada no Graciliano Ramos um dos melhores e mais completo bairros da parte alta fica na rua da autoescola Graciliano Ramos próximo as p,Super destaque,1,325000
43,20,"Rua dos Nambús, Cidade Universitária",40 ,2,1,1,,,RESIDENCIAL MARSELHA ATENÇÃO ITBI e REGISTRO GRATIS 1º imovel Programa Casa Verde Amarela com Subsidio de R 36 695 00 A MRV acaba de fazer o pré lançamento do empreendimento que,Comum,1,167000
44,21,"Barro Duro, Maceió",53 ,3,1,1,300,,Oportunidade para morar ou investir em um excelente apartamento de 3 quartos sendo 1 suíte Sala com varanda Cozinha americana área de Serviço 1 vaga de garagem 100 Nascente,Comum,1,280000
45,22,"Avenida Comendador Gustavo Paiva, Cruz das Almas",85 ,3,3,1,,,Lançamento Residencial Entremares 3 quartos 1 suíte 85 63 m² Elevador Salão de festa Piscina Churrasqueira Playground Fitness Sobre o imóvel A história de mais de,Comum,1,514000
46,23,"Rua Pedro Bonifácio de Oliveira, Barro Duro",59 ,2,2,1,,,8 2 9 8 2 3 6 4 5 3 6 Creci AL 7024 EDIFÍCIO GULANDI Localizado no Barro Duro próximo da FAT 3 elevadores unidades com 2 e 3 4 varanda e suíte Área de lazer completa,Comum,1,
47,24,"Antares, Maceió",54 ,2,2,1,180,,Condominio Parque das Galés Apartamento térreo Posição nascente Apartamento com 54m² 02 quartos sendo uma suíte sala de estar e sala de jantar ws cozinha área de servi,Comum,1,160000
48,1,"Santa Rita, Macapá",,,,,,,Consultor Bruno Dias Whatsapp 11 9 5944 4559 Crédito para Imóvel Compra de Fazenda Investimento empresarial Crédito rural Crédito para carro Caminhões Ma,Super destaque,1,300000
49,2,"Avenida Uruguai, São José",120 ,3,2,2,250,,Situado no Residencial Jardim América na rodovia Duca Serra Possui Suíte Master com closet 2 dormitórios cozinha com bancada americana 2 vagas de garagem Sala de estar,Super destaque,1,450000
50,3,"Jardim Marco Zero, Macapá",1 ,1,1,2,,,34 2022 excelente lote urbano parcialmente murado dispondo das seguintes medidas 12m de frente por 30m de fundos totalizando 360m² Próximo ao monumento do Marco Zero a 100m,Super destaque,1,190000
51,4,"Alameda Abil, Brasil Novo",120 ,3,3,3,,,A casa de vila no bairro Brasil Novo possui 120 metros quadrados com 3 quartos sendo 3 suites e 3 banheiros,Comum,1,70000
52,5,"Rodovia Juscelino Kubitschek, Universidade",70 ,3,2,1,,,Construtora Urbix Incorporadora Metragem 55 92m² e 69 87m² Torres 4 Torres Quartos 2 quartos sendo 1 suíte e 3 quartos sendo 2 suítes Banheiros 2 incluso a suíte,Comum,1,378000
53,6,"Avenida Carlos Almeida de Souza, Jardim Felicidade",120 ,3,2,,,,A casa está localizado no bairro Jardim Felicidade com 120 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros,Comum,1,220000
54,7,"Rua Luis Carlos de Araújo Monteiro, Jardim Equatorial",220 ,4,4,,,,Casa está localizado no bairro Jardim Equatorial Situada na Rua Luis Carlos de Araújo Monteiro Edificada em terreno 10x30 220m2 de área construída contendo as seguintes acomoda,Comum,1,450000
55,8,"Avenida Décima Oitava, Marabaixo",170 ,2,3,3,,,Imóvel disponível para VENDA no bairro Marabaixo 3 Características do imóvel Piscina 2 quartos 1 suíte 1 banheiro Garagem para 3 carros Sala de estar Cozinha,Comum,1,200000
56,9,"Rodovia Juscelino Kubitschek, Universidade",219 ,3,4,3,,,Casa residencial em alvenaria de um 01 pavimento coberta com telha de barro forro em madeira piso em cerâmica garagem para três 03 carros pátio varanda Três quartos Três,Destaque,1,360000
