,Posição,Endereço,Área,Quartos,Banheiros,Vagas,Condomínio,IPTU,Descrição,Status,Página,Preço
0,1,"Avenida Recanto Verde, Residencial Petropolis",114 ,3,2,2,,,O sobrado no bairro Primavera possui 114 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros,Destaque,1,495000
1,2,"Rua Belo Horizonte, Ivete Vargas",170 ,4,2,1,,,"Vende-se uma casa no Ivete Vargas. A casa possui 1 suite + 3 quartos, sala de estar e sala de jantar, cozinha, área de serviço, banheiro social e 1 vaga de garagem. Valor: 270 mil...",Destaque,1,245000
2,3,"Rua Acre, Vila da Amizade",50 ,2,1,1,,,"Aluga-se apartamento no Residencial Villacre, Bloco C apartamento 12, com:  * apartamento reformado  * piso porcelanato  * forro de gesso com iluminação em LED  * luminária na sala...",Comum,1,150000
3,4,"Avenida Getúlio Vargas, Centro",250 ,3,,2,,,,Destaque,1,500000
4,5,"Rua C, LBA Vila Betel ll",336 ,2,2,1,,,"?Casa na Vila Betel !  Vende-se uma casa no conj. Vila Betel. A casa possui 1 suíte e 1 quarto, banheiro social, cozinha, área de serviço, sala de estar. Tamanho do terreno 12x28 t...",Destaque,1,185000
5,6,"Rua Porto Velho, Loteamento Joafra",250 ,2,2,2,,,"VEND0 casa localizada no loteamento Joafra, próximo às universidades, posto de combustível, posto de saúde, supermercados, parque do Tucumã, e acesso ao aeroporto ou rodovia BR 364...",Destaque,1,270000
6,7,"Estrada da Floresta, Floresta Sul",62 ,3,2,1,280,,O apartamento no bairro Floresta Sul tem 62 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros,Destaque,1,225000
7,8,"Rua Severina Maria de Sousa e Silva, Jardim Manoel Juliao",99 ,3,2,2,,,O apartamento no bairro Jardim Manoel Julião tem 90 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros,Comum,1,500000
8,9,"Rua Ubatuba, Vilage Wilde Maciel",434 ,,,,,,"Um terreno bem localizado, em bairro nobre, Vilage Maciel, medido 14 metros de frente por 31 metros cada. Valor de 190.000,00 cada. Documentação regularizada e pronto para financia...",Destaque,1,190000
9,10,"Rua Alcides Teixeira, Loteamento Santo Afonso",200 ,3,3,4,,,Vendo excelente casa localizada no bairro Santo Afonso.  Terreno 14x30  03 dormitórios sendo 01 suíte bem amplo;  01 banheiro social  Sala Cozinha Área de serviço   Área gourmet co...,Destaque,1,250000
10,11,"Rua Aderbal Brasil, Conjunto Manoel Juliao",210 ,3,2,2,,,"Vendo excelente casa residencial em alvenaria no bairro Manoel Juliao, próximo a churrascaria do Chefao  More em um dos modelos bairros de Rio Branco, com excelente localização   0...",Destaque,1,490000
11,12,"Estrada do Calafate, Calafate",190 ,3,4,4,,,"A casa de condomínio térrea no bairro Calafate tem 190 metros quadrados com 3 quartos sendo 3 suites e 4 banheiros Possui espaço gourmet, área verde de jardim, parquinho com difere...",Destaque,1,1400000
12,13,"Rua Comércio, Conjunto Manoel Juliao",50 ,2,1,1,,,"Apartamento fica no 4° andar, pronto para financiar",Destaque,1,125000
13,14,"Rodovia BR-364, Belo Jardim II",5000 ,3,2,2,,,"Chácara a venda no Polo Belo Jardim com 5000 m2.  Imóvel para quem deseja passar seus finais de semana em lazer e harmonia com à natureza. Possui uma excelente casa, lago para se r...",Comum,1,200000
14,15,"Rua Jasmim, Jardim Primavera",95 ,2,1,2,,,Vendo casa residencial em alvenaria  02 dormitórios  01 banheiro social  Sala Cozinha   Edícula nos fundos   Terreno 10x25  Possibilidade de financiamento   Próximo ao condomínio S...,Destaque,1,185000
15,16,"Estrada do Calafate, Calafate",50 ,2,1,1,,,"Vendo esse imóvel em condomínio fechado. Apartamento com 2 dormitórios, 1 banheiro social, salas de estar e jantar, cozinha, área de serviço e vaga de garagem para 1 carro. SOMENTE...",Comum,1,89000
16,17,"Rua São Mateus, Residencial Araca",49 ,2,1,1,230,300,"O apartamento no bairro Residencial Araçá com 49 metros quadrados com 2 quartos e 1 banheiro Possui área de brinquedo para as crianças, área verde de jardim, salão de festas. Espaç...",Comum,1,185000
17,18,"Rua São Mateus, Residencial Araca",80 ,3,2,2,,,📌 Aproveite essa oportunidade na Torre I do Hevea Vivence Residence!  • 🛏 3 quartos (sendo 1 suíte) • 🏢 5º andar • ☀ Sol da manhã • 🍽 Varanda gourmet com churrasqueira  ✅ Pront...,Destaque,1,480000
18,19,"Rua Primavera, Jardim Primavera",135 ,3,2,1,,,?Vende-se uma linda Casa no bairro Jardim Primavera ( bairro ao lado da Uverse)  A casa possui:  1 Suite; 2 quartos; Sala de estar; Cozinha; Área de serviço; Churrasqueira; Piscina...,Destaque,1,350000
19,20,"Rua Alcides Teixeira, Loteamento Santo Afonso",390 ,3,2,2,,,A casa está localizado no bairro Loteamento Santo Afonso com 3 quartos sendo 1 suite e 2 banheiros  Vai lhe possibilitar todo o conforto você e sua família merecem.  Casa espaçosa...,Destaque,1,250000
20,21,"Avenida Recanto Verde, Residencial Petropolis",77 ,3,1,2,,,"O apartamento no bairro Residencial Petrópolis tem 77 metros quadrados com 3 quartos sendo 1 suite e 1 banheiro Possui área de fitness, espaço gourmet, jardim, área de recreação in...",Destaque,1,420000
21,22,"Rua São Mateus, Nova Esperanca",80 ,3,2,2,,,O apartamento está localizado no bairro Nova Esperança possui 80 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros,Comum,1,480000
22,23,"Rodovia BR-364, Distrito Industrial",310 ,,,,,,"Vendo um lote de terra no condomínio de luxo Alphaville Rio Branco. Excelente localização, parte alta e plano. Lote medindo 310m². SOMENTE VENDA.CRECI 166 / 26ª Região",Comum,1,180000
23,24,"Avenida Epaminondas Jácome, Centro",84 ,,,,,,"Lote, Centro, Ocupado, 84.15 Ha de área de terreno. Matrícula nº 60214 e 60386, 1º CRI DE RIO BRANCO. O acesso a propriedade se dá partindo da cidade de Rio Branco/AC",Destaque,1,203676
24,1,"Avenida Comendador Gustavo Paiva, Mangabeiras",39 - 71 ,,2,,,,THE ICON PARK OFFICE  Um EMPRESARIAL ao lado do Parque Shopping com todo CONFORTO e SEGURANÇA que você precisa.   ✔️Serão 2 Torres com uma arquitetura de alto padrão e opções de sa...,Na planta,1,297394
25,2,"Rua Doutora Rosa Cabús, Jatiúca",40 - 59 ,1 - 2,1 - 2,1,,,"Viva o presente, invista no futuro!  Viver é gastar sua energia e economizar o planeta. É aproveitar o sol e reaproveitar a chuva. É usar aplicativos que conectam você ao condomíni...",Pronto para morar,1,
26,3,"Rua Valdo Omena, Ponta Verde",37 - 79 ,1 - 2,1,1 - 2,,,Venha conhecer o Smart Stay.,Em construção,1,
27,4,"Avenida General Luiz de França Albuquerque, Jacarecica",141 ,4,5,3,840,,Um novo conceito em empreendimento imobiliário que vai revolucionar sua ideia de morar bem. Um verdadeiro complexo de lazer e diversão para todas as idades. Cercado de verde em uma...,Super destaque,1,1300000
28,5,"Rua Doutor José Corrêa Filho, Ponta da Terra",71 ,3,2,1,,,Excelente apartamento com três quartos completo de armários nascente andar alto na ponta da terra . Contato Teixeira,Super destaque,1,350000
29,6,"Avenida Engenheiro Mário de Gusmão, Ponta Verde",31 ,,1,,,,O centro comercial está localizado no bairro Ponta Verde tem 31 metros quadrados e 1 banheiroVai lhe possibilitar todo o conforto do ar condicionado nos dias mais quentes.,Super destaque,1,280000
30,7,"Vergel do Lago, Maceió",160 ,3,2,2,,,"Casa com 3 quartos, sendo 1 suíte, garagem para 2 carros, varanda, área próximo da garagem, sala ampla, banheiro social, cozinha ampla, área de serviço, quintal.  Tamanho: 8 x 20 =...",Comum,1,160000
31,8,"Rua Luiz Campos Teixeira, Poço",57 ,2,2,1,400,,"Edifício DUETTO -   Venha morar em grande estilo. O seu 02 quartos ou 03 quartos com suíte e varanda, sala de estar e jantar, cozinha e área de serviço, totalmente revestido em cer...",Destaque,1,418573
