,Posição,Endereço,Área,Quartos,Banheiros,Vagas,Condomínio,IPTU,Descrição,Status,Página,Preço
0,1,"Rua Acre, Vila da Amizade",,,,,200,,Vende se apartamento no Residencial Villacre com as seguintes características 1º andar 2 quartos Sala Cozinha com móveis planejados e bancada em granito Wcsocial 1 vaga de g,Super destaque,1,143000
1,2,"Joao Eduardo I, Rio Branco",,,,,,528,Em busca de uma casa que possa lhe proporcionar conforto tranquilidade e lazer para você e sua família Temos uma ótima opção de casa para lhe apresentar Casa é composta por 03,Comum,1,270000
2,3,"Rua Independência, Conjunto Bela Vista",,,,,,,Vende se uma casa no Conjunto Bela Vista Sala de estar e jantar Cozinha Suíte com móveis planejados 3 Dormitórios mais um quarto externo 3 banheiros Garagem pra 2 carros V,Comum,1,320000
3,4,"Conjunto Tucuma, Rio Branco",,,,,,336,Imóvel localizado no conjunto Tucumã Ótimo para investimento,Destaque,1,190000
4,5,"Rua Raimundo Ferreira, Conjunto Universitario",,,,,,,A casa está localizado no bairro Conjunto Universitário em uma excelente localização tem 190 metros quadrados de área construída com 3 quartos sendo 1 suite e 1 banheiro social,Comum,1,300000
5,6,"Loteamento Santo Afonso, Rio Branco",,,,,,,Imovel localizado no na principal do Santo Afonso Contendo 02 suítes e 01 quarto sala de estar sala de jantar cozinha área de serviço varanda na frente coberta e quintal atr,Destaque,1,420000
6,7,"Bahia Velha, Rio Branco",,,,,,,Casa com piscina 03 quartos sendo 02 suítes sala cozinha wc social e 03 garagens cobertas edícula churrasqueira e pequeno escritório,Comum,1,370000
7,8,"Vila Ivonete, Rio Branco",,,,,,,Vendo Casa Conjunto Procon Excelente imóvel composto por 03 suítes 01 lavado sala de estar sala de jantar cozinha área de serviço garagem pra 02 carros,Comum,1,450000
8,9,"Rua Colômbia, Bosque",,,,,,,Vendo terreno de 10x25 localizado próximo ao círculo militar São 02 construções no lote 01 casa com 02 dormitórios sendo 01 suíte 01 banheiro social sala cozinha 02 cas,Comum,1,300000
9,10,"Conjunto Tangara, Rio Branco",,,,,,,Ótima casa com sala de estar sala de jantar 1 suítes 2 quartos estilo americano cozinha área de serviço e garagem coberta para 02 carros OBS a casa hoje encontra se bem próx,Comum,1,270000
10,11,"Rua Lourenço Lopes, Eldorado",,,,,,,Vende uma casa nova no Bairro Eldorado 2 quartos 1 suíte wc social Sala Cozinha Área de serviço Churrasqueira Garagem quintal Entre em contato,Destaque,1,200000
