,Posição,Endereço,Área,Quartos,Banheiros,Vagas,Condomínio,IPTU,Descrição,Status,Página,Preço
0,1,"Rua Acre, Vila da Amizade",50 ,2,1,1,200,,Vende se apartamento no Residencial Villacre com as seguintes características 1º andar 2 quartos Sala Cozinha com móveis planejados e bancada em granito Wcsocial 1 vaga de g,Super destaque,1,143000
1,2,"Vila Ivonete, Rio Branco",174 ,3,4,2,,,Vendo Casa Conjunto Procon Excelente imóvel composto por 03 suítes 01 lavado sala de estar sala de jantar cozinha área de serviço garagem pra 02 carros,Comum,1,450000
2,3,"Conjunto Tucuma, Rio Branco",110 ,3,2,2,,336,Imóvel localizado no conjunto Tucumã Ótimo para investimento,Destaque,1,190000
3,4,"Rua Independência, Conjunto Bela Vista",245 ,3,3,2,,,Vende se uma casa no Conjunto Bela Vista Sala de estar e jantar Cozinha Suíte com móveis planejados 3 Dormitórios mais um quarto externo 3 banheiros Garagem pra 2 carros V,Comum,1,320000
4,5,"Rua 25 de Dezembro, Tancredo Neves",300 ,2,2,2,,,Ótima casa a venda com 02 quartos sendo demi suite sala cozinha aérea na frente Área com piscina atrás Localizado na principal do Tancredo Neves Aceito carro ou gado como,Comum,1,120000
5,6,"Rua Alcides Teixeira, Loteamento Santo Afonso",200 ,3,3,4,,,Vendo excelente casa localizada no bairro Santo Afonso Terreno 14x30 03 dormitórios sendo 01 suíte bem amplo 01 banheiro social Sala Cozinha Área de serviço Área gourmet co,Destaque,1,250000
6,7,"Rua Tiradentes, Quinze",165 ,3,2,3,,,A casa está localizado no Bairro Quinze com 165 metros² de área construída 03 quartos sendo 01 suíte Sala Cozinha com armários embutidos Guarda roupa de madeira rustica nos q,Comum,1,250000
7,8,"Alameda Madri, Jardim Europa",90 ,3,2,2,,,Apartamento residencial açaí II Apartamento n⁰26 Bairro Jardim Europa Localizado Rua Alameda Madri n⁰ 125 3 quartos com uma suíte 1 sala de estar ampla 1 c,Destaque,1,370000
8,9,"Loteamento Santo Afonso, Rio Branco",105 ,3,3,2,,,Imovel localizado no na principal do Santo Afonso Contendo 02 suítes e 01 quarto sala de estar sala de jantar cozinha área de serviço varanda na frente coberta e quintal atr,Destaque,1,420000
9,10,"Conjunto Bela Vista, Rio Branco",168 ,3,2,2,,,CASA TRÊS QUATOS sendo uma SUÍTE na Rua São Peregrino 345 Conjunto BELA VISTA Floresta Um pequeno ponto Comercial anexo à garagem Muito bem localizada proximo a Igreja São,Comum,1,250000
10,11,"Quinze, Rio Branco",165 ,3,2,5,,,Casa com 1 suíte 2 quartos sala estar ampla e confortável cozinha área de serviço e garagem Casa coberta com telha de barro acabamento em madeira de lei,Comum,1,250000
11,12,"Rua Águia, Loteamento Jaguar",250 ,,,,,,Terreno bem localizado no bairro Apolônio Sales Tamanho 10x25 Terreno murado nos fundos e na lateral esquerda Estuda se troca em veículo Demétrio Consultor Imobiliário 68 9995,Destaque,1,38000
12,13,"Xavier Maia, Rio Branco",180 ,2,2,1,,,Casa encontra se próximo do IFAC instituto federal do Acre Contem 03 dormitórios sendo uma suíte sala de estar sala de jantar cozinha banheiro social área de serviço cober,Comum,1,275000
13,14,"Vilage Wilde Maciel, Rio Branco",434 ,,,,,369,VENDO TERRENO NO BAIRRO VILLAGE PROXIMO A AGRO BOI DA ANTONIA DA ROCHA VIANA E PROXIMO AO CONDOMINI LE VILLE LOCALIZAÇÃO PERFEITA PRA VC,Comum,1,210000
14,15,"Loteamento Joafra, Rio Branco",179 ,2,2,2,,768,Excelente imóvel a venda no Loteamento Joafra próximo a Fameta parque tucumã posto de combustível e conveniências Imóvel conta com 01 suíte e 01 quarto wc social sala e cozin,Comum,1,270000
15,16,"Avenida Getúlio Vargas, Centro",250 ,3,,2,,,,Destaque,1,500000
16,17,"Rua Lourenço Lopes, Eldorado",150 ,2,2,,,,Vende uma casa nova no Bairro Eldorado 2 quartos 1 suíte wc social Sala Cozinha Área de serviço Churrasqueira Garagem quintal Entre em contato,Destaque,1,200000
17,18,"Bahia Velha, Rio Branco",205 ,3,3,3,,,Casa com piscina 03 quartos sendo 02 suítes sala cozinha wc social e 03 garagens cobertas edícula churrasqueira e pequeno escritório,Comum,1,370000
18,19,"Isaura Parente, Rio Branco",84 ,3,2,2,,,Apartamento a venda no Condomínio Monterrey Imóvel já modificado para 03 quartos localização privilegiada condomínio fechado segurança e conforto,Comum,1,300000
19,20,"Alameda Curió, Chacara Ipe",190 ,3,3,2,,,Vendo Casa Nova no Bairro Portal Ipê com 190m2 de área construída com 3 quartos sendo 1 suíte sala de estar integrada com sala de jantar e cozinha gourmet churrasqueira piscina,Destaque,1,750000
20,21,"Vitoria, Rio Branco",155 ,3,3,3,,,Casa disponível para venda bairro Vitória pronta para financiar Sala climatizada Cozinha americana 02 Banheiros sociais 03 Dormitórios sendo 01 suíte Piscina churrasqueira,Comum,1,285000
