,Posição,Endereço,Área,Quartos,Banheiros,Vagas,Condomínio,IPTU,Descrição,Status,Página,Preço
0,1,"Rua Acre, Vila da Amizade",,,,,200,,Vende se apartamento no Residencial Villacre com as seguintes características 1º andar 2 quartos Sala Cozinha com móveis planejados e bancada em granito Wcsocial 1 vaga de g,Super destaque,1,143000
1,2,"Conjunto Tucuma, Rio Branco",,,,,,336,Imóvel localizado no conjunto Tucumã Ótimo para investimento,Destaque,1,190000
2,3,"Vitoria, Rio Branco",,,,,,,Casa disponível para venda bairro Vitória pronta para financiar Sala climatizada Cozinha americana 02 Banheiros sociais 03 Dormitórios sendo 01 suíte Piscina churrasqueira,Comum,1,285000
3,4,"Bahia Velha, Rio Branco",,,,,,,Casa com piscina 03 quartos sendo 02 suítes sala cozinha wc social e 03 garagens cobertas edícula churrasqueira e pequeno escritório,Comum,1,370000
4,5,"Rua 25 de Dezembro, Tancredo Neves",,,,,,,Ótima casa a venda com 02 quartos sendo demi suite sala cozinha aérea na frente Área com piscina atrás Localizado na principal do Tancredo Neves Aceito carro ou gado como,Comum,1,120000
5,6,"Rua Independência, Conjunto Bela Vista",,,,,,,Vende se uma casa no Conjunto Bela Vista Sala de estar e jantar Cozinha Suíte com móveis planejados 3 Dormitórios mais um quarto externo 3 banheiros Garagem pra 2 carros V,Comum,1,320000
6,7,"Rua Lourenço Lopes, Eldorado",,,,,,,Vende uma casa nova no Bairro Eldorado 2 quartos 1 suíte wc social Sala Cozinha Área de serviço Churrasqueira Garagem quintal Entre em contato,Destaque,1,200000
7,8,"Rua Águia, Loteamento Jaguar",,,,,,,Terreno bem localizado no bairro Apolônio Sales Tamanho 10x25 Terreno murado nos fundos e na lateral esquerda Estuda se troca em veículo Demétrio Consultor Imobiliário 68 9995,Destaque,1,38000
8,9,"Belo Jardim I, Rio Branco",,,,,,,Vendo Chácara no Polo Belo Jardim Imóvel para quem deseja passar seus finais de semana em harmonia com a natureza e lazer em família Possui uma excelente casa lago e plantas fr,Comum,1,200000
9,10,"Conjunto Bela Vista, Rio Branco",,,,,,,CASA TRÊS QUATOS sendo uma SUÍTE na Rua São Peregrino 345 Conjunto BELA VISTA Floresta Um pequeno ponto Comercial anexo à garagem Muito bem localizada proximo a Igreja São,Comum,1,250000
