,Posição,Endereço,Área,Quartos,Banheiros,Vagas,Condomínio,IPTU,Descrição,Status,Página,Preço
0,1,"Rodovia BR-364, Portal da Amazonia",492 ,,,,,,"O lote/terreno está localizado no bairro Portal da Amazônia com 492 metros quadrados Possui área de fitness, espaço gourmet, área verde de jardim, parquinho com diferentes brinqued...",Super destaque,1,450000
1,2,"Rodovia BR-364, Portal da Amazonia",429 ,,,,,,"O lote/terreno está localizado no bairro Portal da Amazônia tem 429 metros quadrados Possui área de fitness, espaço gourmet, espaço jardinado, área de brinquedo para as crianças, s...",Super destaque,1,360000
2,3,"Rua Severina Maria de Sousa e Silva, Jardim Manoel Juliao",99 ,3,2,2,690,,"O apartamento está localizado no bairro Jardim Manoel Julião tem 99 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros Possui parquinho infantil, salão para festas e evento...",Super destaque,1,570000
3,4,"Rua C, LBA Vila Betel ll",336 ,2,2,1,,,"?Casa na Vila Betel !  Vende-se uma casa no conj. Vila Betel. A casa possui 1 suíte e 1 quarto, banheiro social, cozinha, área de serviço, sala de estar. Tamanho do terreno 12x28 t...",Comum,1,185000
4,5,"Rua Abacabeira, Vila da Amizade",243 ,3,1,2,,,A casa está localizado no bairro Vila da Amizade com 243 metros quadrados com 1 quarto sendo 3 suites e 1 banheiro,Comum,1,380000
5,6,"Estrada do Calafate, Calafate",50 ,2,1,1,,,"Vendo esse imóvel em condomínio fechado. Apartamento com 2 dormitórios, 1 banheiro social, salas de estar e jantar, cozinha, área de serviço e vaga de garagem para 1 carro. SOMENTE...",Comum,1,89000
6,7,"Rua Belo Horizonte, Ivete Vargas",170 ,4,2,1,,,"Vende-se uma casa no Ivete Vargas. A casa possui 1 suite + 3 quartos, sala de estar e sala de jantar, cozinha, área de serviço, banheiro social e 1 vaga de garagem. Valor: 270 mil...",Comum,1,245000
7,8,"Rua São Mateus, Residencial Araca",49 ,2,1,1,230,300,"O apartamento no bairro Residencial Araçá com 49 metros quadrados com 2 quartos e 1 banheiro Possui área de brinquedo para as crianças, área verde de jardim, salão de festas. Espaç...",Comum,1,185000
8,9,"Estrada da Floresta, Floresta Sul",360 ,,,,,,"O lote/terreno está localizado no bairro Floresta Sul com 360 metros quadrados Encontra-se em um condomínio protegido por muros, em dos melhores condomínios fechados de Rio Branco.",Destaque,1,270000
9,10,"Rodovia BR-364, Distrito Industrial",310 ,,,,,,"Vendo um lote de terra no condomínio de luxo Alphaville Rio Branco. Excelente localização, parte alta e plano. Lote medindo 310m². SOMENTE VENDA.CRECI 166 / 26ª Região",Comum,1,180000
